date,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
1/1/2005,-0.223879583,,-0.251307649,0.073801207,-0.359116081,1.20709879,-1.059967991,-0.82884482,1.103621398,-1.849308714,,0.345780938
2/1/2005,-0.064278259,,0.502103976,0.913851948,1.792463351,0.160260362,1.146410655,0.854983222,0.516453669,-0.605158124,,-0.514487499
3/1/2005,1.191958523,,-1.606331392,-0.274819794,-1.476139659,-0.228033778,0.965862893,0.672130652,-1.041781106,-0.022693324,,0.560340684
4/1/2005,0.915998291,,0.556781183,0.795753131,0.292728561,1.006760932,0.435304714,1.407729813,-0.238315314,-2.673327304,,-1.303194757
5/1/2005,-1.158463233,,0.036040126,-0.948025249,-0.377527195,-0.295739877,-0.894187164,0.568024189,-0.017551758,-1.057315074,,0.961063952
6/1/2005,-0.817822932,,0.327848026,-0.305751129,0.740696328,-0.828847504,0.477184068,-0.319553713,0.11801919,0.265304554,,1.652145348
7/1/2005,0.091015679,,-0.034481931,0.493453344,-1.951063945,0.138989376,-1.13201288,-0.028488468,0.679626764,0.532581492,,0.179946779
8/1/2005,-0.052516258,,0.30609272,-1.885292239,0.792124279,0.648465751,-0.630491551,1.921551177,-0.467311629,-0.46451358,,2.439822557
9/1/2005,-1.435957097,,0.42705991,-0.562337296,,-0.112273125,-0.299018123,-0.287791809,0.145543279,-1.003343183,,1.144591012
10/1/2005,1.412143669,,-0.785530281,0.232368321,,1.355153809,-0.117177303,-1.235920285,-2.157765316,-1.478940474,,-0.130823259
11/1/2005,-1.797438862,,1.270693896,0.910547686,,-0.708981086,2.145310977,-0.50564196,1.686368954,1.63326535,,-0.000591678
12/1/2005,0.34382846,,-0.677287211,-0.048617608,,0.584879715,1.414620613,0.483227178,0.432225147,1.926714543,,-0.558740344
1/1/2006,1.071668207,,,0.550297226,,0.809841908,0.295151108,-1.336955398,0.048785258,-0.501869623,,-0.48716028
2/1/2006,-1.114959124,,,1.321654271,,-0.685355849,-1.384002447,-0.229393259,-0.107522744,0.584441308,,0.591578563
3/1/2006,-0.215517943,0.878678853,,1.510291169,,-0.242415251,0.935857676,-0.652259435,-0.754101718,1.730013927,,-0.54069027
4/1/2006,-1.215780862,-0.159055058,,,,0.51754922,-1.589586914,-1.771493298,-0.940584978,2.297798603,,-0.535287868
5/1/2006,0.21626827,0.494084821,,,,-0.405961512,-1.814544623,0.187128432,-0.730043848,-0.745347868,,-0.769279487
6/1/2006,-1.853111503,0.633392712,,,,1.186834161,-0.516441986,0.765145566,-0.307910155,-0.445114598,,-0.43395045
7/1/2006,0.659366361,0.001963128,,,,-0.336573836,0.296871354,-3.486665779,1.144729036,1.047135201,,-0.954631408
8/1/2006,-0.019738955,-0.640616814,,,,-1.086913872,1.977794792,-1.378817391,0.259058188,-2.700376506,,-0.454469564
9/1/2006,-0.810476525,-0.443522659,,1.126538737,,-1.178755347,0.675617299,-1.562247281,-0.252243416,1.848047011,,-0.657546347
10/1/2006,0.412011191,2.107157163,,1.23341629,,0.460075582,-0.924858357,-0.045635895,-0.525393491,0.65882035,,-1.927237038
11/1/2006,-0.630528731,-0.314884227,,-0.821570492,,0.478567559,1.243858991,0.984401921,-0.398884016,0.376248301,,-0.993587223
12/1/2006,-0.169081427,1.749766339,,-0.89731114,,-0.321391865,-0.157912735,-0.356738511,0.999244442,0.456937889,,-1.466167709
1/1/2007,0.003039155,1.152155449,,0.362443927,,2.027545738,0.584484265,-0.279774542,1.599754622,-0.453885427,,0.264545338
2/1/2007,0.221914499,0.452247074,,-0.97912084,,1.8061237,0.772154371,0.023536794,-0.105343031,0.939890506,,1.341936274
3/1/2007,-1.271066252,-0.744558395,,1.930214492,,-1.428691113,-0.076178091,0.779842078,-0.305914114,0.818840059,,2.375071721
4/1/2007,0.124307339,-0.490534952,,0.558986539,,0.802855446,1.392449224,-1.299278906,-0.41842788,-0.452076818,,-0.579107674
5/1/2007,-1.694878982,0.111385603,,0.105863168,,0.903489366,0.802105536,0.225719569,0.015846768,-0.694907227,,-0.075560596
6/1/2007,0.321429761,0.292044703,,-0.285335656,,-1.435332326,0.352822506,0.023250504,-0.137488596,0.295117511,,0.432974995
